org.w3c.dom.Node.getNodeName() 20930
java.io.FileOutputStream.close() 20835
java.io.File.createTempFile() 20765
java.io.File.length() 20470
java.util.ArrayList.remove() 20080
java.sql.PreparedStatement.executeUpdate() 20065
java.lang.Math.max() 19405
java.lang.StringBuffer.toString() 19205
java.sql.Statement.executeQuery() 19130
java.lang.String.valueOf() 19040
java.text.SimpleDateFormat.format() 18820
java.net.URLEncoder.encode() 18565
java.awt.Label.setText() 18275
java.io.PrintWriter.close() 18255
org.w3c.dom.Document.getDocumentElement() 18225
java.util.Properties.load() 18045
java.io.ObjectInputStream.readObject() 18000
java.io.File.isFile() 17705
java.util.UUID.randomUUID() 17500
java.io.ObjectOutputStream.writeObject() 17450
java.sql.Date 17399
java.util.HashMap.keySet() 17235
javax.swing.JButton.setText() 17095
java.lang.reflect.Method.getName() 17055
javax.swing.JPanel.setLayout() 17030
java.util.Calendar.add() 17015
java.io.DataOutputStream.writeInt() 17015
java.net.URL.openConnection() 16960
java.lang.Character.valueOf() 16955
java.lang.String.format() 16820
org.w3c.dom.Document 16786
java.util.LinkedList.size() 16500
java.net.URL 16494
java.util.List.indexOf() 16460
java.util.ArrayList.addAll() 16070
java.util.ArrayList.contains() 16020
java.util.Arrays.toString() 15990
java.io.DataInputStream.readInt() 15910
java.io.FileInputStream.close() 15825
java.lang.Math.min() 15705
org.w3c.dom.Node.getNodeType() 15640
java.util.Map.putAll() 15440
java.util.ArrayList.clear() 15305
javax.swing.JButton.addActionListener() 15300
java.lang.String.startsWith() 15295
java.util.Vector 15244
java.util.Arrays.fill() 15215
java.io.File.toURI() 15030
java.lang.Object.getClass() 15020
java.sql.Statement.close() 14950
javax.xml.parsers.DocumentBuilderFactory.newInstance() 14915
java.net.URL.openStream() 14500
java.text.DecimalFormat.format() 14450
java.util.concurrent.CountDownLatch.countDown() 14345
java.util.concurrent.CountDownLatch.await() 14180
java.math.BigInteger.valueOf() 14145
java.io.File.createNewFile() 14125
java.lang.Thread.sleep() 14110
java.io.File.toString() 14055
java.util.HashMap.remove() 13935
java.io.File.mkdir() 13850
java.util.ArrayList.iterator() 13800
java.io.PrintWriter.write() 13795
org.w3c.dom.Node.getNodeValue() 13745
java.util.HashSet.contains() 13715
junit.framework.TestSuite.addTestSuite() 13710
javax.swing.GroupLayout.setHorizontalGroup() 13700
javax.swing.GroupLayout.setVerticalGroup() 13700
java.io.File.deleteOnExit() 13695
java.util.Calendar.setTime() 13590
java.util.List.set() 13580
java.awt.image.BufferedImage.getWidth() 13565
java.io.ByteArrayOutputStream.toString() 13525
junit.framework.Assert.assertNull() 13375
java.net.URL.toString() 13335
java.io.FileOutputStream.write() 13260
java.sql.PreparedStatement.setLong() 13255
java.io.PrintWriter.flush() 13225
java.util.HashMap 13171
java.awt.image.BufferedImage.getHeight() 13035
javax.swing.JTextField.setText() 12930
